기준년월,지역명,읍면동명,순서,대상구분_상,대상구분_하,합계,본인,유족
2025-03,세종특별자치시,나성동,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,나성동,39,특수임무유공자,특수임무부상자,0,0,0
2025-03,세종특별자치시,나성동,40,특수임무유공자,특수임무공로자,0,0,0
2025-03,세종특별자치시,나성동,41,중·장기복무제대군인,중·장기복무제대군인,75,75,0
2025-03,세종특별자치시,다정동,1,순국선열,건국훈장,0,0,0
2025-03,세종특별자치시,다정동,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,다정동,3,순국선열,대통령표창,0,0,0
2025-03,세종특별자치시,다정동,4,애국지사,건국훈장,2,0,2
2025-03,세종특별자치시,다정동,5,애국지사,건국포장,0,0,0
2025-03,세종특별자치시,다정동,6,애국지사,대통령표창,0,0,0
2025-03,세종특별자치시,다정동,7,전몰·전상·순직·공상군경,전몰군경,8,0,8
2025-03,세종특별자치시,다정동,8,전몰·전상·순직·공상군경,전상군경,37,11,26
2025-03,세종특별자치시,다정동,9,전몰·전상·순직·공상군경,순직군경,6,0,6
2025-03,세종특별자치시,다정동,10,전몰·전상·순직·공상군경,공상군경,39,31,8
2025-03,세종특별자치시,다정동,11,고엽제후유증,고엽제후유증,16,10,6
2025-03,세종특별자치시,다정동,12,무공수훈자,무공수훈자,21,2,19
2025-03,세종특별자치시,다정동,13,보국수훈자,보국수훈자,53,51,2
2025-03,세종특별자치시,다정동,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,다정동,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,다정동,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,다정동,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,다정동,18,순직·공상공무원,순직공무원,8,0,8
2025-03,세종특별자치시,다정동,19,순직·공상공무원,공상공무원,7,4,3
2025-03,세종특별자치시,다정동,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,다정동,21,6·18자유상이자,6·18자유상이자,1,0,1
2025-03,세종특별자치시,다정동,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,다정동,23,지원대상자,지원공상군경,4,4,0
2025-03,세종특별자치시,다정동,24,지원대상자,지원순직공무원,0,0,0
2025-03,세종특별자치시,다정동,25,지원대상자,지원공상공무원,1,1,0
2025-03,세종특별자치시,다정동,26,보훈보상대상자,재해사망군경,0,0,0
2025-03,세종특별자치시,다정동,27,보훈보상대상자,재해부상군경,4,4,0
2025-03,세종특별자치시,다정동,28,보훈보상대상자,재해사망공무원,0,0,0
2025-03,세종특별자치시,다정동,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,다정동,30,참전유공자,6·25전쟁,3,3,0
2025-03,세종특별자치시,다정동,31,참전유공자,월남전쟁,25,25,0
2025-03,세종특별자치시,다정동,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,다정동,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,10,10,0
2025-03,세종특별자치시,다정동,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,세종특별자치시,다정동,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,다정동,36,5.18민주유공자,5·18부상자,2,2,0
2025-03,세종특별자치시,다정동,37,5.18민주유공자,5·18희생자,0,0,0
2025-03,세종특별자치시,다정동,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,다정동,39,특수임무유공자,특수임무부상자,0,0,0
2025-03,세종특별자치시,다정동,40,특수임무유공자,특수임무공로자,1,1,0
2025-03,세종특별자치시,다정동,41,중·장기복무제대군인,중·장기복무제대군인,151,151,0
2025-03,세종특별자치시,대평동,1,순국선열,건국훈장,0,0,0
2025-03,세종특별자치시,대평동,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,대평동,3,순국선열,대통령표창,1,0,1
2025-03,세종특별자치시,대평동,4,애국지사,건국훈장,0,0,0
2025-03,세종특별자치시,대평동,5,애국지사,건국포장,0,0,0
2025-03,세종특별자치시,대평동,6,애국지사,대통령표창,0,0,0
2025-03,세종특별자치시,대평동,7,전몰·전상·순직·공상군경,전몰군경,5,0,5
2025-03,세종특별자치시,대평동,8,전몰·전상·순직·공상군경,전상군경,21,10,11
2025-03,세종특별자치시,대평동,9,전몰·전상·순직·공상군경,순직군경,1,0,1
2025-03,세종특별자치시,대평동,10,전몰·전상·순직·공상군경,공상군경,15,11,4
2025-03,세종특별자치시,대평동,11,고엽제후유증,고엽제후유증,6,4,2
2025-03,세종특별자치시,대평동,12,무공수훈자,무공수훈자,12,1,11
2025-03,세종특별자치시,대평동,13,보국수훈자,보국수훈자,20,20,0
2025-03,세종특별자치시,대평동,14,재일학도의용군인,재일학도의용군인,0,0,0
2025-03,세종특별자치시,대평동,15,4.19혁명유공자,4·19혁명사망자,0,0,0
2025-03,세종특별자치시,대평동,16,4.19혁명유공자,4·19혁명부상자,0,0,0
2025-03,세종특별자치시,대평동,17,4.19혁명유공자,4·19혁명공로자,0,0,0
2025-03,세종특별자치시,대평동,18,순직·공상공무원,순직공무원,7,0,7
2025-03,세종특별자치시,대평동,19,순직·공상공무원,공상공무원,0,0,0
2025-03,세종특별자치시,대평동,20,특별공로순직자,특별공로순직자,0,0,0
2025-03,세종특별자치시,대평동,21,6·18자유상이자,6·18자유상이자,0,0,0
2025-03,세종특별자치시,대평동,22,지원대상자,지원순직군경,0,0,0
2025-03,세종특별자치시,대평동,23,지원대상자,지원공상군경,0,0,0
2025-03,세종특별자치시,대평동,24,지원대상자,지원순직공무원,0,0,0
2025-03,세종특별자치시,대평동,25,지원대상자,지원공상공무원,0,0,0
2025-03,세종특별자치시,대평동,26,보훈보상대상자,재해사망군경,0,0,0
2025-03,세종특별자치시,대평동,27,보훈보상대상자,재해부상군경,2,2,0
2025-03,세종특별자치시,대평동,28,보훈보상대상자,재해사망공무원,1,0,1
2025-03,세종특별자치시,대평동,29,보훈보상대상자,재해부상공무원,0,0,0
2025-03,세종특별자치시,대평동,30,참전유공자,6·25전쟁,2,2,0
2025-03,세종특별자치시,대평동,31,참전유공자,월남전쟁,17,17,0
2025-03,세종특별자치시,대평동,32,참전유공자,6.25및월남전쟁,0,0,0
2025-03,세종특별자치시,대평동,33,고엽제후유의증·고엽제후유증2세,고엽제후유의증,4,4,0
2025-03,세종특별자치시,대평동,34,고엽제후유의증·고엽제후유증2세,고엽제후유증2세,0,0,0
2025-03,세종특별자치시,대평동,35,5.18민주유공자,5·18사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,대평동,36,5.18민주유공자,5·18부상자,0,0,0
2025-03,세종특별자치시,대평동,37,5.18민주유공자,5·18희생자,0,0,0
2025-03,세종특별자치시,대평동,38,특수임무유공자,특수임무사망자 또는 행불자,0,0,0
2025-03,세종특별자치시,대평동,39,특수임무유공자,특수임무부상자,0,0,0
2025-03,세종특별자치시,대평동,40,특수임무유공자,특수임무공로자,1,1,0
2025-03,세종특별자치시,대평동,41,중·장기복무제대군인,중·장기복무제대군인,65,65,0
2025-03,세종특별자치시,도담동,1,순국선열,건국훈장,0,0,0
2025-03,세종특별자치시,도담동,2,순국선열,건국포장,0,0,0
2025-03,세종특별자치시,도담동,3,순국선열,대통령표창,0,0,0
2025-03,세종특별자치시,도담동,4,애국지사,건국훈장,1,0,1
2025-03,세종특별자치시,도담동,5,애국지사,건국포장,1,0,1
2025-03,세종특별자치시,도담동,6,애국지사,대통령표창,3,0,3
2025-03,세종특별자치시,도담동,7,전몰·전상·순직·공상군경,전몰군경,6,0,6
2025-03,세종특별자치시,도담동,8,전몰·전상·순직·공상군경,전상군경,50,19,31
2025-03,세종특별자치시,도담동,9,전몰·전상·순직·공상군경,순직군경,4,0,4
2025-03,세종특별자치시,도담동,10,전몰·전상·순직·공상군경,공상군경,44,37,7
